{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6251097210482055, 'training_loss': 0.6198459184169769}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239996336254419, 'training_loss': 0.6374520111083983}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6240365289005578, 'training_loss': 0.6286752164363861}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6252893221144583, 'training_loss': 0.6439447325468063}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6267959288522309, 'training_loss': 0.6447832852602005}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6241713464260101, 'training_loss': 0.628495284318924}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6241128497263965, 'training_loss': 0.6391248548030853}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6242221003653956, 'training_loss': 0.6456900525093079}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239543101366829, 'training_loss': 0.6324683344364167}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6246904549645442, 'training_loss': 0.6374388122558594}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.625002824792675, 'training_loss': 0.6352557504177093}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239660282929739, 'training_loss': 0.6345056235790253}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6245993510180828, 'training_loss': 0.6307156610488891}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6247175978679284, 'training_loss': 0.6391064965724945}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239675563924453, 'training_loss': 0.6361029070615769}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6244615836470735, 'training_loss': 0.6349363577365875}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6263956871687197, 'training_loss': 0.6405489474534989}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6248691759857476, 'training_loss': 0.6325745439529419}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239571770032247, 'training_loss': 0.6357036775350571}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6247586327440598, 'training_loss': 0.6332545137405395}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6255792250820235, 'training_loss': 0.6287345290184021}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6240488693994635, 'training_loss': 0.6320403665304184}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6246968174681944, 'training_loss': 0.6341831320524216}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.625178432932087, 'training_loss': 0.6378559929132461}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6241034824474185, 'training_loss': 0.6397208595275878}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6245902899433585, 'training_loss': 0.6279533272981643}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.626635307190465, 'training_loss': 0.628346756696701}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6247082066302206, 'training_loss': 0.6356423395872117}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239615678787231, 'training_loss': 0.6271969366073609}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6246471042726555, 'training_loss': 0.6341172993183136}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6254672075019163, 'training_loss': 0.6381087648868561}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6243328259271734, 'training_loss': 0.6372660458087921}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239603173499014, 'training_loss': 0.640178451538086}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239544556421392, 'training_loss': 0.6398457813262939}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6240150046114828, 'training_loss': 0.6287646454572677}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239731533854616, 'training_loss': 0.6317156147956847}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6243528484129438, 'training_loss': 0.6347515964508057}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6257467228992313, 'training_loss': 0.6459614318609238}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6240242596934823, 'training_loss': 0.6194406104087831}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6267040611482134, 'training_loss': 0.6292046958208084}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6274237474974464, 'training_loss': 0.6274778234958649}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239780029829811, 'training_loss': 0.6449908787012101}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6262101320659413, 'training_loss': 0.6282034140825271}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6272686626396927, 'training_loss': 0.6364159834384918}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6243955592314402, 'training_loss': 0.645928322672844}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6249290266457725, 'training_loss': 0.6370266866683961}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6266667439657099, 'training_loss': 0.6340939903259277}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6258407100742939, 'training_loss': 0.6278182584047317}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.623961505352282, 'training_loss': 0.6316447240114212}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6250225328931621, 'training_loss': 0.6283367145061493}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6261442327031902, 'training_loss': 0.6317594462633134}
